,CTRL_0_R1,CTRL_0_R2,CTRL_0_R3,PT1_0_R1,PT1_0_R2,PT1_0_R3,PT1_9.6_R1,PT1_9.6_R2,PT1_9.6_R3,PT1_9.6_R4,PT1_15.4_R1,PT1_15.4_R2,PT1_15.4_R3,PT1_15.4_R4,PT2_0_R1,PT2_0_R2,PT2_0_R3,PT2_9.6_R1,PT2_9.6_R2,PT2_9.6_R3,PT2_9.6_R4,PT2_15.4_R1,PT2_15.4_R2,PT2_15.4_R3,PT2_15.4_R4,PT3_0_R1,PT3_0_R2,PT3_0_R3,PT3_9.6_R1,PT3_9.6_R2,PT3_9.6_R3,PT3_9.6_R4,PT3_15.4_R1,PT3_15.4_R2,PT3_15.4_R3,PT3_15.4_R4,PT4_0_R1,PT4_0_R2,PT4_0_R3,PT4_9.6_R1,PT4_9.6_R2,PT4_9.6_R3,PT4_9.6_R4,PT4_15.4_R1,PT4_15.4_R2,PT4_15.4_R3,PT4_15.4_R4,PT5_0_R1,PT5_0_R2,PT5_0_R3,PT5_9.6_R1,PT5_9.6_R2,PT5_9.6_R3,PT5_9.6_R4,PT5_15.4_R1,PT5_15.4_R2,PT5_15.4_R3,PT5_15.4_R4
L03F6075,0,0,0,6,0,0,0,0,0,0,1,0,1,1,2,1,2,0,0,1,0,0,15,2,0,2,0,0,1,0,5,1,2,0,2,4,5,2,12,0,0,0,3,2,0,1,0,2,0,2,0,0,0,0,4,0,10,1
L03F6076,0,0,0,269,51,63,2,0,0,127,139,146,126,430,65,104,130,90,76,158,19,134,415,151,200,207,107,51,127,102,117,137,130,13,160,246,381,179,410,7,0,2,281,191,137,160,85,297,297,439,143,118,225,222,253,251,846,459
L03F6077,0,0,1,4,1,1,0,0,0,1,2,2,0,2,8,6,6,2,1,1,1,2,5,3,5,11,8,3,0,2,3,1,2,0,0,2,6,28,18,0,0,0,6,20,15,12,9,18,20,19,4,4,1,5,12,3,20,11
L03F6078,0,0,0,122,14,26,0,0,0,84,77,82,78,248,14,54,63,23,11,26,0,17,76,12,39,50,33,19,40,26,25,39,20,3,85,36,153,83,133,4,1,0,172,86,72,143,50,63,65,133,34,26,27,49,59,49,141,68
L03F6079,0,0,0,1,3,2,13,0,0,6,111,32,2,14,0,2,13,0,1,5,0,2,12,3,7,9,4,2,88,3,2,5,5,1,14,9,32,4,34,0,0,0,7,9,4,5,2,5,5,7,6,4,7,2,6,3,21,9
L03F6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6081,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L03F6082,0,0,0,48,7,18,0,0,0,21,18,27,23,61,22,31,34,15,8,38,2,25,84,13,42,50,38,12,18,13,22,29,23,8,27,54,54,54,46,0,0,0,31,47,33,32,18,52,49,64,21,22,7,31,34,32,118,61
L03F6083,0,0,0,18,2,7,0,0,0,11,15,15,8,30,7,5,6,10,7,28,1,17,38,15,24,33,16,10,2,11,8,13,11,4,7,31,8,7,13,0,0,0,16,7,8,29,8,23,23,42,14,10,10,16,16,31,74,47
L03F6084,0,0,0,4,0,3,0,0,0,6,10,4,6,9,3,4,0,4,7,16,1,10,19,7,28,16,1,4,1,3,9,8,3,0,7,11,11,5,5,1,0,0,4,1,4,2,3,9,8,24,12,7,5,6,9,14,64,23
